ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
3202	205_hyena	hyena	8	Lega D.25	símbá	símbá	s í/i m b á/a	lega1249	-3.83196	27.1424	Atlantic-Congo	3 7 4 1 7	AXMBZ	SIMPA	9	9.S.C 9.I.V 9.M.c 9.P.C 9.A.V	2.0 1.5 1.1 1.75 0.8	sí/imbá/a	0	2250
3598	205_hyena	hyena	9	Tswana S.30	pʰírí	pʰírí	pʰ í/i r í/i	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 5 7	AXBZ	PIRI	10	10.P.C 10.I.V 10.R.C 10.I.V	2.0 1.5 1.75 0.8	pʰí/irí/i	0	2243
4025	205_hyena	hyena	10	Yao P.21	túnù	túnù	t ú/u n ù/u	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 4 7	AXBZ	TYNY	2	2.T.C 2.Y.V 2.N.C 2.Y.V	2.0 1.5 1.75 0.8	tú/unù/u	0	2244
667	207_infrontof	in front of	2	Bukusu E.31c	èènì	èènì	è/e è/e n ì/i	buku1249	0.68043	34.7719	Atlantic-Congo	7 7 4 7	XYBZ	EENI	3	3.E.V 3.E.V 3.N.C 3.I.V	1.5 1.3 1.75 0.8	è/eè/enì/i	0	2255
1089	207_infrontof	in front of	3	Koyo C.24	bòsó	bòsó	b ò/o s ó/o	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 7 3 7	AXBZ	PUSU	4	4.P.C 4.U.V 4.S.C 4.U.V	2.0 1.5 1.75 0.8	bò/osó/o	0	2256
1888	207_infrontof	in front of	5	Basaa A.43a	sú	sú	s ú/u	basa1284	3.80765	10.4213	Atlantic-Congo	3 7	AX	SY	6	6.S.C 6.Y.V	2.0 1.5	sú/u	1	2257
2332	207_infrontof	in front of	6	Asu G.22	mózíá	mózíá	m ó/o z í/i á/a	asut1235	-4.17978	37.8323	Atlantic-Congo	4 7 3 7 7	AXBYZ	MUSIA	7	7.M.C 7.U.V 7.S.C 7.I.V 7.A.V	2.0 1.5 1.75 1.3 0.8	mó/ozí/iá/a	0	2258
2809	207_infrontof	in front of	7	Rumanyo (Gciriku) K.38	kùmêhò	kùmêhò	k ù/u m ê/e h ò/o	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 4 7 3 7	AXBYBZ	KYMEHU	8	8.K.C 8.Y.V 8.M.C 8.E.V 8.H.C 8.U.V	2.0 1.5 1.75 1.3 1.75 0.8	kù/umê/ehò/o	0	2259
3204	207_infrontof	in front of	8	Lega D.25	bèlé	bèlé	b è/e l é/e	lega1249	-3.83196	27.1424	Atlantic-Congo	1 7 5 7	AXBZ	PELE	9	9.P.C 9.E.V 9.L.C 9.E.V	2.0 1.5 1.75 0.8	bè/elé/e	0	2260
3600	207_infrontof	in front of	9	Tswana S.30	pɩ̀lɩ̀	pɩ̀lɩ̀	p ɩ̀/i l ɩ̀/i	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 5 7	AXBZ	PILI	10	10.P.C 10.I.V 10.L.C 10.I.V	2.0 1.5 1.75 0.8	pɩ̀/ilɩ̀/i	0	2261
4027	207_infrontof	in front of	10	Yao P.21	pàwùʤò	pàwùʤò	p à/a w ù/u dʒ ò/o	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 6 7 1 7	AXBYBZ	PAWYTU	2	2.P.C 2.A.V 2.W.C 2.Y.V 2.T.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	pà/awù/udʒò/o	0	2254
231	208_increase	increase	1	Kinyamwezi F22	ɔ̀ŋgɛ̀ʤ̑à	ɔ̀ŋgɛ̀ʤ̑à	ɔ̀/ɔ ŋ g ɛ̀/ɛ dʒ à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	7 4 1 7 1 7	XMBYBZ	UNKETA	1	1.U.V 1.N.c 1.K.C 1.E.V 1.T.C 1.A.V	1.5 1.1 1.75 1.3 1.75 0.8	ɔ̀/ɔŋgɛ̀/ɛdʒà/a	0	2263
668	208_increase	increase	2	Bukusu E.31c	ßììmbìsjà	ßììmbìsjà	β ìì m b ì/i s j à/a	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 4 1 7 3 6 7	AXMBYBCZ	BIMPISJA	3	3.B.C 3.I.V 3.M.c 3.P.C 3.I.V 3.S.C 3.J.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	βììmbì/isjà/a	0	2265
1090	208_increase	increase	3	Koyo C.24	ɲásà	ɲásà	ɲ á s à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	4 7 3 7	AXBZ	NASA	4	4.N.C 4.A.V 4.S.C 4.A.V	2.0 1.5 1.75 0.8	ɲásà/a	1	2266
1483	208_increase	increase	4	Bemba M.42	sàndùlùl	sàndùlùl	s à/a n d ù/u l ù/u l	bemb1257	-10.6122	29.2993	Atlantic-Congo	3 7 4 1 7 5 7 5	AXMBYBYN	SANTYLYL	5	5.S.C 5.A.V 5.N.c 5.T.C 5.Y.V 5.L.C 5.Y.V 5.L.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	sà/andù/ulù/ul	0	2267
1889	208_increase	increase	5	Basaa A.43a	ɓùlùs	ɓùlùs	ɓ ù/u l ù/u s	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 5 7 3	AXBYN	PYLYS	6	6.P.C 6.Y.V 6.L.C 6.Y.V 6.S.c	2.0 1.5 1.75 1.3 0.8	ɓù/ulù/us	0	2268
2333	208_increase	increase	6	Asu G.22	óŋgèʤ̑à	óŋgèʤ̑à	ó/o ŋ g è/e dʒ à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	7 4 1 7 1 7	XMBYBZ	UNKETA	7	7.U.V 7.N.c 7.K.C 7.E.V 7.T.C 7.A.V	1.5 1.1 1.75 1.3 1.75 0.8	ó/oŋgè/edʒà/a	0	2263
2810	208_increase	increase	7	Rumanyo (Gciriku) K.38	wédèrèrà	wédèrèrà	w é/e d è/e r è/e r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	6 7 1 7 5 7 5 7	AXBYBYBZ	WETERERA	8	8.W.C 8.E.V 8.T.C 8.E.V 8.R.C 8.E.V 8.R.C 8.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	wé/edè/erè/erà/a	0	2269
3601	208_increase	increase	9	Tswana S.30	òkètsà	òkètsà	ò/o k è/e ts à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	7 1 7 2 7	XBYBZ	UKECA	10	10.U.V 10.K.C 10.E.V 10.C.C 10.A.V	1.5 1.75 1.3 1.75 0.8	ò/okè/etsà/a	0	2270
4028	208_increase	increase	10	Yao P.21	paambiʧila	paambiʧila	p a a m b i tʃ i l a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 7 4 1 7 1 7 5 7	AXYMBYBYBZ	PAAMPITILA	2	2.P.C 2.A.V 2.A.V 2.M.c 2.P.C 2.I.V 2.T.C 2.I.V 2.L.C 2.A.V	2.0 1.5 1.3 1.1 1.75 1.3 1.75 1.3 1.75 0.8	paambitʃila	0	2264
4029	208_increase	increase	10	Yao P.21	tutuva	tutuva	t u t u v a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 1 7 3 7	AXBYBZ	TYTYBA	2	2.T.C 2.Y.V 2.T.C 2.Y.V 2.B.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tutuva	0	2271
232	209_inside	inside	1	Kinyamwezi F22	gàtɩ̀ɩ́	gàtɩ̀ɩ́	g à/a t ɩ̀/i ɩ́/i	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 1 7 7	AXBYZ	KATII	1	1.K.C 1.A.V 1.T.C 1.I.V 1.I.V	2.0 1.5 1.75 1.3 0.8	gà/atɩ̀/iɩ́/i	0	2274
669	209_inside	inside	2	Bukusu E.31c	-mô	-mô	m ô/o	buku1249	0.68043	34.7719	Atlantic-Congo	4 7	AX	MU	3	3.M.C 3.U.V	2.0 1.5	mô/o	0	2276
1091	209_inside	inside	3	Koyo C.24	ɛ́	ɛ́	ɛ́/ɛ	koyo1242	-0.69688	15.7508	Atlantic-Congo	7	X	E	4	4.E.V	1.5	ɛ́/ɛ	0	2277
1484	209_inside	inside	4	Bemba M.42	tí	tí	t í/i	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7	AX	TI	5	5.T.C 5.I.V	2.0 1.5	tí/i	0	2278
1890	209_inside	inside	5	Basaa A.43a	kèdé	kèdé	k è/e d é/e	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 1 7	AXBZ	KETE	6	6.K.C 6.E.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	kè/edé/e	0	2279
2334	209_inside	inside	6	Asu G.22	ɣàtí	ɣàtí	ɣ à/a t í/i	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 1 7	AXBZ	GATI	7	7.G.C 7.A.V 7.T.C 7.I.V	2.0 1.5 1.75 0.8	ɣà/atí/i	0	2274
2811	209_inside	inside	7	Rumanyo (Gciriku) K.38	pwálì	pwálì	p w á l ì/i	diri1252	-18.1681	20.6678	Atlantic-Congo	1 6 7 5 7	ACXBZ	PWALI	8	8.P.C 8.W.C 8.A.V 8.L.C 8.I.V	2.0 1.5 1.5 1.75 0.8	pwálì/i	0	2280
3205	209_inside	inside	8	Lega D.25	ndà zà	ndà zà	n d à/a + z à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	4 1 7 9 3 7	ACZ_AX	NTA_SA	9	9.N.C 9.T.C 9.A.V 9._._ 9.S.C 9.A.V	2.0 1.5 0.8 0.0 2.0 1.5	ndà/a+zà/a	0	2281 2282
3602	209_inside	inside	9	Tswana S.30	tèŋ̀	tèŋ̀	t è/e ŋ̀/ŋ	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 4	AXN	TEN	10	10.T.C 10.E.V 10.N.c	2.0 1.5 0.8	tè/eŋ̀/ŋ	0	2283
4030	209_inside	inside	10	Yao P.21	ŋkàtí	ŋkàtí	ŋ k à/a t í/i	yaoo1241	-13.6119	35.2387	Atlantic-Congo	4 1 7 1 7	ACYBZ	NKATI	2	2.N.C 2.K.C 2.A.V 2.T.C 2.I.V	2.0 1.5 1.3 1.75 0.8	ŋkà/atí/i	0	2275
233	210_intestines	intestines	1	Kinyamwezi F22	là	là	l à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	5 7	AX	LA	1	1.L.C 1.A.V	2.0 1.5	là/a	0	2286
670	210_intestines	intestines	2	Bukusu E.31c	là	là	l à/a	buku1249	0.68043	34.7719	Atlantic-Congo	5 7	AX	LA	3	3.L.C 3.A.V	2.0 1.5	là/a	0	2286
1092	210_intestines	intestines	3	Koyo C.24	sɔ̀bɔ́	sɔ̀bɔ́	s ɔ̀/ɔ b ɔ́/ɔ	koyo1242	-0.69688	15.7508	Atlantic-Congo	3 7 1 7	AXBZ	SUPU	4	4.S.C 4.U.V 4.P.C 4.U.V	2.0 1.5 1.75 0.8	sɔ̀/ɔbɔ́/ɔ	0	2288
1485	210_intestines	intestines	4	Bemba M.42	là	là	l à/a	bemb1257	-10.6122	29.2993	Atlantic-Congo	5 7	AX	LA	5	5.L.C 5.A.V	2.0 1.5	là/a	0	2286
1891	210_intestines	intestines	5	Basaa A.43a	là	là	l à/a	basa1284	3.80765	10.4213	Atlantic-Congo	5 7	AX	LA	6	6.L.C 6.A.V	2.0 1.5	là/a	0	2286
2335	210_intestines	intestines	6	Asu G.22	tùmbò	tùmbò	t ù/u m b ò/o	asut1235	-4.17978	37.8323	Atlantic-Congo	1 7 4 1 7	AXMBZ	TYMPU	7	7.T.C 7.Y.V 7.M.c 7.P.C 7.U.V	2.0 1.5 1.1 1.75 0.8	tù/umbò/o	0	2287
2812	210_intestines	intestines	7	Rumanyo (Gciriku) K.38	ɣùrà	ɣùrà	ɣ ù/u r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 5 7	AXBZ	GYRA	8	8.G.C 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.75 0.8	ɣù/urà/a	0	2289
3206	210_intestines	intestines	8	Lega D.25	sòló	sòló	s ò/o l ó/o	lega1249	-3.83196	27.1424	Atlantic-Congo	3 7 5 7	AXBZ	SULU	9	9.S.C 9.U.V 9.L.C 9.U.V	2.0 1.5 1.75 0.8	sò/oló/o	0	2290
3603	210_intestines	intestines	9	Tswana S.30	là	là	l à/a	tswa1253	-24.368	24.7587	Atlantic-Congo	5 7	AX	LA	10	10.L.C 10.A.V	2.0 1.5	là/a	0	2286
4031	210_intestines	intestines	10	Yao P.21	tùùmbò	tùùmbò	t ù/u ù/u m b ò/o	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 7 4 1 7	AXYMBZ	TYYMPU	2	2.T.C 2.Y.V 2.Y.V 2.M.c 2.P.C 2.U.V	2.0 1.5 1.3 1.1 1.75 0.8	tù/uù/umbò/o	0	2287
671	211_itch	itch	2	Bukusu E.31c	ààkàlà	ààkàlà	à/a à/a k à/a l à/a	buku1249	0.68043	34.7719	Atlantic-Congo	7 7 1 7 5 7	XYBYBZ	AAKALA	3	3.A.V 3.A.V 3.K.C 3.A.V 3.L.C 3.A.V	1.5 1.3 1.75 1.3 1.75 0.8	à/aà/akà/alà/a	0	2298
1892	211_itch	itch	5	Basaa A.43a	ɲáŋ	ɲáŋ	ɲ á ŋ	basa1284	3.80765	10.4213	Atlantic-Congo	4 7 4	AXN	NAN	6	6.N.C 6.A.V 6.N.c	2.0 1.5 0.8	ɲáŋ	0	2299
2336	211_itch	itch	6	Asu G.22	vávà	vávà	v á v à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 3 7	AXBZ	BABA	7	7.B.C 7.A.V 7.B.C 7.A.V	2.0 1.5 1.75 0.8	vávà/a	1	2300
2813	211_itch	itch	7	Rumanyo (Gciriku) K.38	ʝûɣà	ʝûɣà	ʝ û/u ɣ à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 3 7	AXBZ	SYGA	8	8.S.C 8.Y.V 8.G.C 8.A.V	2.0 1.5 1.75 0.8	ʝû/uɣà/a	0	2301
3207	211_itch	itch	8	Lega D.25	pùmbè	pùmbè	p ù/u m b è/e	lega1249	-3.83196	27.1424	Atlantic-Congo	1 7 4 1 7	AXMBZ	PYMPE	9	9.P.C 9.Y.V 9.M.c 9.P.C 9.E.V	2.0 1.5 1.1 1.75 0.8	pù/umbè/e	0	2302
3604	211_itch	itch	9	Tswana S.30	bábá	bábá	b á b á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 1 7	AXBZ	PAPA	10	10.P.C 10.A.V 10.P.C 10.A.V	2.0 1.5 1.75 0.8	bábá/a	0	2300
4032	211_itch	itch	10	Yao P.21	ɲaɲa	ɲaɲa	ɲ a ɲ a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	4 7 4 7	AXBZ	NANA	2	2.N.C 2.A.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	ɲaɲa	0	2297
4033	211_itch	itch	10	Yao P.21	tekeɲa	tekeɲa	t e k e ɲ a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 1 7 4 7	AXBYBZ	TEKENA	2	2.T.C 2.E.V 2.K.C 2.E.V 2.N.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tekeɲa	0	2303
234	212_jaw	jaw	1	Kinyamwezi F22	sàʤ̑à	sàʤ̑à	s à/a dʒ à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 1 7	AXBZ	SATA	1	1.S.C 1.A.V 1.T.C 1.A.V	2.0 1.5 1.75 0.8	sà/adʒà/a	0	2306
672	212_jaw	jaw	2	Bukusu E.31c	ɲàɲílò	ɲàɲílò	ɲ à/a ɲ í/i l ò/o	buku1249	0.68043	34.7719	Atlantic-Congo	4 7 4 7 5 7	AXBYBZ	NANILU	3	3.N.C 3.A.V 3.N.C 3.I.V 3.L.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	ɲà/aɲí/ilò/o	0	2308
1486	212_jaw	jaw	4	Bemba M.42	nwà	nwà	n w à/a	bemb1257	-10.6122	29.2993	Atlantic-Congo	4 6 7	ACX	NWA	5	5.N.C 5.W.C 5.A.V	2.0 1.5 1.5	nwà/a	0	2309
1893	212_jaw	jaw	5	Basaa A.43a	máŋg	máŋg	m á ŋ g	basa1284	3.80765	10.4213	Atlantic-Congo	4 7 4 1	AXLN	MANK	6	6.M.C 6.A.V 6.N.c 6.K.c	2.0 1.5 1.1 0.8	máŋg	0	2310
2337	212_jaw	jaw	6	Asu G.22	sá	sá	s á/a	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7	AX	SA	7	7.S.C 7.A.V	2.0 1.5	sá/a	0	2311
2338	212_jaw	jaw	6	Asu G.22	laka	laka	l a k a	asut1235	-4.17978	37.8323	Atlantic-Congo	5 7 1 7	AXBZ	LAKA	7	7.L.C 7.A.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8	laka	0	2315
2814	212_jaw	jaw	7	Rumanyo (Gciriku) K.38	pândà	pândà	p â/a n d à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 4 1 7	AXMBZ	PANTA	8	8.P.C 8.A.V 8.N.c 8.T.C 8.A.V	2.0 1.5 1.1 1.75 0.8	pâ/andà/a	0	2312
3208	212_jaw	jaw	8	Lega D.25	báŋgá	báŋgá	b á ŋ g á/a	lega1249	-3.83196	27.1424	Atlantic-Congo	1 7 4 1 7	AXMBZ	PANKA	9	9.P.C 9.A.V 9.N.c 9.K.C 9.A.V	2.0 1.5 1.1 1.75 0.8	báŋgá/a	0	2313
3605	212_jaw	jaw	9	Tswana S.30	tɬʰàá	tɬʰàá	t ɬʰ à/a á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	1 5 7 7	ACXZ	TLAA	10	10.T.C 10.L.C 10.A.V 10.A.V	2.0 1.5 1.5 0.8	tɬʰà/aá/a	0	2314
4034	212_jaw	jaw	10	Yao P.21	pùúndì	pùúndì	p ù/u ú/u n d ì/i	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 7 4 1 7	AXYMBZ	PYYNTI	2	2.P.C 2.Y.V 2.Y.V 2.N.c 2.T.C 2.I.V	2.0 1.5 1.3 1.1 1.75 0.8	pù/uú/undì/i	1	2307
235	213_jealousy	jealousy	1	Kinyamwezi F22	βʊ̀βà	βʊ̀βà	β ʊ̀/ʊ β à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 3 7	AXBZ	BYBA	1	1.B.C 1.Y.V 1.B.C 1.A.V	2.0 1.5 1.75 0.8	βʊ̀/ʊβà/a	0	2317
673	213_jealousy	jealousy	2	Bukusu E.31c	ßùßà	ßùßà	β ù/u β à/a	buku1249	0.68043	34.7719	Atlantic-Congo	3 7 3 7	AXBZ	BYBA	3	3.B.C 3.Y.V 3.B.C 3.A.V	2.0 1.5 1.75 0.8	βù/uβà/a	0	2317
674	213_jealousy	jealousy	2	Bukusu E.31c	kòkò	kòkò	k ò/o k ò/o	buku1249	0.68043	34.7719	Atlantic-Congo	1 7 1 7	AXBZ	KUKU	3	3.K.C 3.U.V 3.K.C 3.U.V	2.0 1.5 1.75 0.8	kò/okò/o	0	2322
1093	213_jealousy	jealousy	3	Koyo C.24	kú	kú	k ú/u	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 7	AX	KY	4	4.K.C 4.Y.V	2.0 1.5	kú/u	0	2319
1487	213_jealousy	jealousy	4	Bemba M.42	fùßà	fùßà	f ù/u β à/a	bemb1257	-10.6122	29.2993	Atlantic-Congo	3 7 3 7	AXBZ	BYBA	5	5.B.C 5.Y.V 5.B.C 5.A.V	2.0 1.5 1.75 0.8	fù/uβà/a	0	2317
1894	213_jealousy	jealousy	5	Basaa A.43a	támâ	támâ	t á m â/a	basa1284	3.80765	10.4213	Atlantic-Congo	1 7 4 7	AXBZ	TAMA	6	6.T.C 6.A.V 6.M.C 6.A.V	2.0 1.5 1.75 0.8	támâ/a	0	2320
2339	213_jealousy	jealousy	6	Asu G.22	írù	írù	í/i r ù/u	asut1235	-4.17978	37.8323	Atlantic-Congo	7 5 7	XBZ	IRY	7	7.I.V 7.R.C 7.Y.V	1.5 1.75 0.8	í/irù/u	1	2321
2815	213_jealousy	jealousy	7	Rumanyo (Gciriku) K.38	fûpà	fûpà	f û/u p à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 7 1 7	AXBZ	BYPA	8	8.B.C 8.Y.V 8.P.C 8.A.V	2.0 1.5 1.75 0.8	fû/upà/a	1	2317
3606	213_jealousy	jealousy	9	Tswana S.30	fúfá	fúfá	f ú/u f á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	3 7 3 7	AXBZ	BYBA	10	10.B.C 10.Y.V 10.B.C 10.A.V	2.0 1.5 1.75 0.8	fú/ufá/a	0	2317
4035	213_jealousy	jealousy	10	Yao P.21	ìíwù	ìíwù	ì/i í/i w ù/u	yaoo1241	-13.6119	35.2387	Atlantic-Congo	7 7 6 7	XYBZ	IIWY	2	2.I.V 2.I.V 2.W.C 2.Y.V	1.5 1.3 1.75 0.8	ì/ií/iwù/u	0	2318
236	214_keeplivestock	keep livestock	1	Kinyamwezi F22	sàβà	sàβà	s à/a β à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 3 7	AXBZ	SABA	1	1.S.C 1.A.V 1.B.C 1.A.V	2.0 1.5 1.75 0.8	sà/aβà/a	0	2328
2340	214_keeplivestock	keep livestock	6	Asu G.22	ríʃà	ríʃà	r í/i ʃ à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	5 7 3 7	AXBZ	RISA	7	7.R.C 7.I.V 7.S.C 7.A.V	2.0 1.5 1.75 0.8	rí/iʃà/a	0	2330
2816	214_keeplivestock	keep livestock	7	Rumanyo (Gciriku) K.38	wêkèrà	wêkèrà	w ê/e k è/e r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	6 7 1 7 5 7	AXBYBZ	WEKERA	8	8.W.C 8.E.V 8.K.C 8.E.V 8.R.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	wê/ekè/erà/a	0	2331
3607	214_keeplivestock	keep livestock	9	Tswana S.30	rúá	rúá	r ú/u á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	5 7 7	AXZ	RYA	10	10.R.C 10.Y.V 10.A.V	2.0 1.5 0.8	rú/uá/a	0	2332
4036	214_keeplivestock	keep livestock	10	Yao P.21	laaŋga	laaŋga	l a a ŋ g a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	5 7 7 4 1 7	AXYMBZ	LAANKA	2	2.L.C 2.A.V 2.A.V 2.N.c 2.K.C 2.A.V	2.0 1.5 1.3 1.1 1.75 0.8	laaŋga	0	2329
237	215_kidney	kidney	1	Kinyamwezi F22	fìgɔ́	fìgɔ́	f ì/i g ɔ́/ɔ	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 1 7	AXBZ	BIKU	1	1.B.C 1.I.V 1.K.C 1.U.V	2.0 1.5 1.75 0.8	fì/igɔ́/ɔ	0	2334
675	215_kidney	kidney	2	Bukusu E.31c	bìkò	bìkò	b ì/i k ò/o	buku1249	0.68043	34.7719	Atlantic-Congo	1 7 1 7	AXBZ	PIKU	3	3.P.C 3.I.V 3.K.C 3.U.V	2.0 1.5 1.75 0.8	bì/ikò/o	0	2334
1094	215_kidney	kidney	3	Koyo C.24	nʤ̑íɲɛ̀	nʤ̑íɲɛ̀	n dʒ í/i ɲ ɛ̀/ɛ	koyo1242	-0.69688	15.7508	Atlantic-Congo	4 1 7 4 7	ACYBZ	NTINE	4	4.N.C 4.T.C 4.I.V 4.N.C 4.E.V	2.0 1.5 1.3 1.75 0.8	ndʒí/iɲɛ̀/ɛ	1	2336
1488	215_kidney	kidney	4	Bemba M.42	fjó	fjó	f j ó/o	bemb1257	-10.6122	29.2993	Atlantic-Congo	3 6 7	ACX	BJU	5	5.B.C 5.J.C 5.U.V	2.0 1.5 1.5	fjó/o	0	2335
1895	215_kidney	kidney	5	Basaa A.43a	ɛ̌ŋ	ɛ̌ŋ	ɛ̌/ɛ ŋ	basa1284	3.80765	10.4213	Atlantic-Congo	7 4	XN	EN	6	6.E.V 6.N.c	1.5 0.8	ɛ̌/ɛŋ	0	2337
2341	215_kidney	kidney	6	Asu G.22	fíɣò	fíɣò	f í/i ɣ ò/o	asut1235	-4.17978	37.8323	Atlantic-Congo	3 7 3 7	AXBZ	BIGU	7	7.B.C 7.I.V 7.G.C 7.U.V	2.0 1.5 1.75 0.8	fí/iɣò/o	0	2334
2817	215_kidney	kidney	7	Rumanyo (Gciriku) K.38	gérà	gérà	g é/e r à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	1 7 5 7	AXBZ	KERA	8	8.K.C 8.E.V 8.R.C 8.A.V	2.0 1.5 1.75 0.8	gé/erà/a	0	2338
3209	215_kidney	kidney	8	Lega D.25	píkʊ̀	píkʊ̀	p í/i k ʊ̀	lega1249	-3.83196	27.1424	Atlantic-Congo	1 7 1 7	AXBZ	PIKY	9	9.P.C 9.I.V 9.K.C 9.Y.V	2.0 1.5 1.75 0.8	pí/ikʊ̀	0	2334
3608	215_kidney	kidney	9	Tswana S.30	pʰílɔ́	pʰílɔ́	pʰ í/i l ɔ́/ɔ	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 5 7	AXBZ	PILU	10	10.P.C 10.I.V 10.L.C 10.U.V	2.0 1.5 1.75 0.8	pʰí/ilɔ́/ɔ	0	2339
4037	215_kidney	kidney	10	Yao P.21	pjó	pjó	p j ó/o	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 6 7	ACX	PJU	2	2.P.C 2.J.C 2.U.V	2.0 1.5 1.5	pjó/o	0	2335
238	216_kill	kill	1	Kinyamwezi F22	βʊ̀lágà	βʊ̀lágà	β ʊ̀/ʊ l á g à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 7 5 7 1 7	AXBYBZ	BYLAKA	1	1.B.C 1.Y.V 1.L.C 1.A.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	βʊ̀/ʊlágà/a	0	2345
676	216_kill	kill	2	Bukusu E.31c	ììrà	ììrà	ì/i ì/i r à/a	buku1249	0.68043	34.7719	Atlantic-Congo	7 7 5 7	XYBZ	IIRA	3	3.I.V 3.I.V 3.R.C 3.A.V	1.5 1.3 1.75 0.8	ì/iì/irà/a	0	2346
1095	216_kill	kill	3	Koyo C.24	bòmà	bòmà	b ò/o m à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 7 4 7	AXBZ	PUMA	4	4.P.C 4.U.V 4.M.C 4.A.V	2.0 1.5 1.75 0.8	bò/omà/a	0	2347
1489	216_kill	kill	4	Bemba M.42	ìpàj	ìpàj	ì/i p à/a j	bemb1257	-10.6122	29.2993	Atlantic-Congo	7 1 7 6	XBYN	IPAJ	5	5.I.V 5.P.C 5.A.V 5.J.c	1.5 1.75 1.3 0.8	ì/ipà/aj	0	2348
1896	216_kill	kill	5	Basaa A.43a	nɔ́l	nɔ́l	n ɔ́/ɔ l	basa1284	3.80765	10.4213	Atlantic-Congo	4 7 5	AXN	NUL	6	6.N.C 6.U.V 6.L.c	2.0 1.5 0.8	nɔ́/ɔl	0	2349
