index	index_p	rindex	rindex_p	cogid	id_MonpaBalemu	segment_MonpaBalemu	segment_MonpaBalemu_L1	segment_MonpaBalemu_L2	segment_MonpaBalemu_L3	segment_MonpaBalemu_R1	segment_MonpaBalemu_R2	segment_MonpaBalemu_R3	SC_MonpaBalemu	SC_MonpaBalemu_L1	SC_MonpaBalemu_L2	SC_MonpaBalemu_L3	SC_MonpaBalemu_R1	SC_MonpaBalemu_R2	SC_MonpaBalemu_R3	PROSODY_MonpaBalemu	PROSODY_MonpaBalemu_L1	PROSODY_MonpaBalemu_L2	PROSODY_MonpaBalemu_L3	PROSODY_MonpaBalemu_R1	PROSODY_MonpaBalemu_R2	PROSODY_MonpaBalemu_R3	id_MonpaDirang	segment_MonpaDirang	segment_MonpaDirang_L1	segment_MonpaDirang_L2	segment_MonpaDirang_L3	segment_MonpaDirang_R1	segment_MonpaDirang_R2	segment_MonpaDirang_R3	SC_MonpaDirang	SC_MonpaDirang_L1	SC_MonpaDirang_L2	SC_MonpaDirang_L3	SC_MonpaDirang_R1	SC_MonpaDirang_R2	SC_MonpaDirang_R3	PROSODY_MonpaDirang	PROSODY_MonpaDirang_L1	PROSODY_MonpaDirang_L2	PROSODY_MonpaDirang_L3	PROSODY_MonpaDirang_R1	PROSODY_MonpaDirang_R2	PROSODY_MonpaDirang_R3	id_MonpaDirangDum	segment_MonpaDirangDum	segment_MonpaDirangDum_L1	segment_MonpaDirangDum_L2	segment_MonpaDirangDum_L3	segment_MonpaDirangDum_R1	segment_MonpaDirangDum_R2	segment_MonpaDirangDum_R3	SC_MonpaDirangDum	SC_MonpaDirangDum_L1	SC_MonpaDirangDum_L2	SC_MonpaDirangDum_L3	SC_MonpaDirangDum_R1	SC_MonpaDirangDum_R2	SC_MonpaDirangDum_R3	PROSODY_MonpaDirangDum	PROSODY_MonpaDirangDum_L1	PROSODY_MonpaDirangDum_L2	PROSODY_MonpaDirangDum_L3	PROSODY_MonpaDirangDum_R1	PROSODY_MonpaDirangDum_R2	PROSODY_MonpaDirangDum_R3	id_MonpaKalaktang	segment_MonpaKalaktang	segment_MonpaKalaktang_L1	segment_MonpaKalaktang_L2	segment_MonpaKalaktang_L3	segment_MonpaKalaktang_R1	segment_MonpaKalaktang_R2	segment_MonpaKalaktang_R3	SC_MonpaKalaktang	SC_MonpaKalaktang_L1	SC_MonpaKalaktang_L2	SC_MonpaKalaktang_L3	SC_MonpaKalaktang_R1	SC_MonpaKalaktang_R2	SC_MonpaKalaktang_R3	PROSODY_MonpaKalaktang	PROSODY_MonpaKalaktang_L1	PROSODY_MonpaKalaktang_L2	PROSODY_MonpaKalaktang_L3	PROSODY_MonpaKalaktang_R1	PROSODY_MonpaKalaktang_R2	PROSODY_MonpaKalaktang_R3	id_MonpaNamsu	segment_MonpaNamsu	segment_MonpaNamsu_L1	segment_MonpaNamsu_L2	segment_MonpaNamsu_L3	segment_MonpaNamsu_R1	segment_MonpaNamsu_R2	segment_MonpaNamsu_R3	SC_MonpaNamsu	SC_MonpaNamsu_L1	SC_MonpaNamsu_L2	SC_MonpaNamsu_L3	SC_MonpaNamsu_R1	SC_MonpaNamsu_R2	SC_MonpaNamsu_R3	PROSODY_MonpaNamsu	PROSODY_MonpaNamsu_L1	PROSODY_MonpaNamsu_L2	PROSODY_MonpaNamsu_L3	PROSODY_MonpaNamsu_R1	PROSODY_MonpaNamsu_R2	PROSODY_MonpaNamsu_R3	id_MonpaSangti	segment_MonpaSangti	segment_MonpaSangti_L1	segment_MonpaSangti_L2	segment_MonpaSangti_L3	segment_MonpaSangti_R1	segment_MonpaSangti_R2	segment_MonpaSangti_R3	SC_MonpaSangti	SC_MonpaSangti_L1	SC_MonpaSangti_L2	SC_MonpaSangti_L3	SC_MonpaSangti_R1	SC_MonpaSangti_R2	SC_MonpaSangti_R3	PROSODY_MonpaSangti	PROSODY_MonpaSangti_L1	PROSODY_MonpaSangti_L2	PROSODY_MonpaSangti_L3	PROSODY_MonpaSangti_R1	PROSODY_MonpaSangti_R2	PROSODY_MonpaSangti_R3	id_MonpaTembang	segment_MonpaTembang	segment_MonpaTembang_L1	segment_MonpaTembang_L2	segment_MonpaTembang_L3	segment_MonpaTembang_R1	segment_MonpaTembang_R2	segment_MonpaTembang_R3	SC_MonpaTembang	SC_MonpaTembang_L1	SC_MonpaTembang_L2	SC_MonpaTembang_L3	SC_MonpaTembang_R1	SC_MonpaTembang_R2	SC_MonpaTembang_R3	PROSODY_MonpaTembang	PROSODY_MonpaTembang_L1	PROSODY_MonpaTembang_L2	PROSODY_MonpaTembang_L3	PROSODY_MonpaTembang_R1	PROSODY_MonpaTembang_R2	PROSODY_MonpaTembang_R3	id_MonpaTomko	segment_MonpaTomko	segment_MonpaTomko_L1	segment_MonpaTomko_L2	segment_MonpaTomko_L3	segment_MonpaTomko_R1	segment_MonpaTomko_R2	segment_MonpaTomko_R3	SC_MonpaTomko	SC_MonpaTomko_L1	SC_MonpaTomko_L2	SC_MonpaTomko_L3	SC_MonpaTomko_R1	SC_MonpaTomko_R2	SC_MonpaTomko_R3	PROSODY_MonpaTomko	PROSODY_MonpaTomko_L1	PROSODY_MonpaTomko_L2	PROSODY_MonpaTomko_L3	PROSODY_MonpaTomko_R1	PROSODY_MonpaTomko_R2	PROSODY_MonpaTomko_R3
4	0.8000	2	0.4000	1629																																																																																									636	b	n	o	ŋ	u	∅	∅	P	N	U	N	Y	∅	∅	1	4	7	4	7	∅	∅																							637	b	n	o	ŋ	u	∅	∅	P	N	U	N	Y	∅	∅	1	4	7	4	7	∅	∅																						
5	1.0000	1	0.2000	1629																																																																																									636	u	b	n	o	∅	∅	∅	Y	P	N	U	∅	∅	∅	7	1	4	7	∅	∅	∅																							637	u	b	n	o	∅	∅	∅	Y	P	N	U	∅	∅	∅	7	1	4	7	∅	∅	∅																						
1	0.2500	4	1.0000	1636	638	b	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7	639	b	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7	640	b	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7	641	b	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7																							642	b	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7	643	b	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7	644	p	∅	∅	∅	e	tʃ	a	P	∅	∅	∅	E	T	A	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	1636	638	e	b	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	639	e	b	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	640	e	b	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	641	e	b	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅																							642	e	b	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	643	e	b	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	644	e	p	∅	∅	tʃ	a	∅	E	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	1636	638	tʃ	e	b	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	639	tʃ	e	b	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	640	tʃ	e	b	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	641	tʃ	e	b	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅																							642	tʃ	e	b	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	643	tʃ	e	b	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	644	tʃ	e	p	∅	a	∅	∅	T	E	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	1636	638	a	tʃ	e	b	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅	639	a	tʃ	e	b	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅	640	a	tʃ	e	b	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅	641	a	tʃ	e	b	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅																							642	a	tʃ	e	b	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅	643	a	tʃ	e	b	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅	644	a	tʃ	e	p	∅	∅	∅	A	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.5000	2	1.0000	1646																							645	tʃ	∅	∅	∅	o	∅	∅	T	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅	646	tʃ	∅	∅	∅	o	∅	∅	T	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅	647	tʃ	∅	∅	∅	o	∅	∅	T	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																																													648	tʃ	∅	∅	∅	o	∅	∅	T	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	1646																							645	o	tʃ	∅	∅	∅	∅	∅	U	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅	646	o	tʃ	∅	∅	∅	∅	∅	U	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅	647	o	tʃ	∅	∅	∅	∅	∅	U	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																																													648	o	tʃ	∅	∅	∅	∅	∅	U	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																						
1	0.1429	7	1.0000	1648																																																																																																															649	ɾ	∅	∅	∅	i	t	a	R	∅	∅	∅	I	T	A	5	∅	∅	∅	7	1	7																							650	ɾ	∅	∅	∅	i	t	a	R	∅	∅	∅	I	T	A	5	∅	∅	∅	7	1	7
2	0.2857	6	0.8571	1648																																																																																																															649	i	ɾ	∅	∅	t	a	ŋ	I	R	∅	∅	T	A	N	7	5	∅	∅	1	7	4																							650	i	ɾ	∅	∅	t	a	ŋ	I	R	∅	∅	T	A	N	7	5	∅	∅	1	7	4
3	0.4286	5	0.7143	1648																																																																																																															649	t	i	ɾ	∅	a	ŋ	p	T	I	R	∅	A	N	P	1	7	5	∅	7	4	1																							650	t	i	ɾ	∅	a	ŋ	p	T	I	R	∅	A	N	P	1	7	5	∅	7	4	1
4	0.5714	4	0.5714	1648																																																																																																															649	a	t	i	ɾ	ŋ	p	u	A	T	I	R	N	P	Y	7	1	7	5	4	1	7																							650	a	t	i	ɾ	ŋ	p	u	A	T	I	R	N	P	Y	7	1	7	5	4	1	7
5	0.7143	3	0.4286	1648																																																																																																															649	ŋ	a	t	i	p	u	∅	N	A	T	I	P	Y	∅	4	7	1	7	1	7	∅																							650	ŋ	a	t	i	p	u	∅	N	A	T	I	P	Y	∅	4	7	1	7	1	7	∅
6	0.8571	2	0.2857	1648																																																																																																															649	p	ŋ	a	t	u	∅	∅	P	N	A	T	Y	∅	∅	1	4	7	1	7	∅	∅																							650	p	ŋ	a	t	u	∅	∅	P	N	A	T	Y	∅	∅	1	4	7	1	7	∅	∅
7	1.0000	1	0.1429	1648																																																																																																															649	u	p	ŋ	a	∅	∅	∅	Y	P	N	A	∅	∅	∅	7	1	4	7	∅	∅	∅																							650	u	p	ŋ	a	∅	∅	∅	Y	P	N	A	∅	∅	∅	7	1	4	7	∅	∅	∅
1	0.5000	2	1.0000	1654	651	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅	652	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅	653	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅	654	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅	655	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅	656	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅																							657	l	∅	∅	∅	i	∅	∅	L	∅	∅	∅	I	∅	∅	5	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	1654	651	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅	652	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅	653	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅	654	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅	655	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅	656	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅																							657	i	l	∅	∅	∅	∅	∅	I	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅
1	0.3333	3	1.0000	1663	658	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	659	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	660	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	661	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	662	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	663	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	664	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅	665	z	∅	∅	∅	u	m	∅	S	∅	∅	∅	Y	M	∅	3	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	1663	658	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	659	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	660	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	661	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	662	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	663	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	664	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅	665	u	z	∅	∅	m	∅	∅	Y	S	∅	∅	M	∅	∅	7	3	∅	∅	4	∅	∅
3	1.0000	1	0.3333	1663	658	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	659	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	660	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	661	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	662	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	663	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	664	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅	665	m	u	z	∅	∅	∅	∅	M	Y	S	∅	∅	∅	∅	4	7	3	∅	∅	∅	∅
1	0.2500	4	1.0000	1672	666	l	∅	∅	∅	e	m	a	L	∅	∅	∅	E	M	A	5	∅	∅	∅	7	4	7																																													667	l	∅	∅	∅	e	m	a	L	∅	∅	∅	E	M	A	5	∅	∅	∅	7	4	7																																																																																								
2	0.5000	3	0.7500	1672	666	e	l	∅	∅	m	a	∅	E	L	∅	∅	M	A	∅	7	5	∅	∅	4	7	∅																																													667	e	l	∅	∅	m	a	∅	E	L	∅	∅	M	A	∅	7	5	∅	∅	4	7	∅																																																																																								
3	0.7500	2	0.5000	1672	666	m	e	l	∅	a	∅	∅	M	E	L	∅	A	∅	∅	4	7	5	∅	7	∅	∅																																													667	m	e	l	∅	a	∅	∅	M	E	L	∅	A	∅	∅	4	7	5	∅	7	∅	∅																																																																																								
4	1.0000	1	0.2500	1672	666	a	m	e	l	∅	∅	∅	A	M	E	L	∅	∅	∅	7	4	7	5	∅	∅	∅																																													667	a	m	e	l	∅	∅	∅	A	M	E	L	∅	∅	∅	7	4	7	5	∅	∅	∅																																																																																								
1	0.1667	6	1.0000	1680	668	kʰ	∅	∅	∅	a	n	d	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	669	kʰ	∅	∅	∅	a	n	d	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1																							670	kʰ	∅	∅	∅	a	n	t	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	671	kʰ	∅	∅	∅	a	n	d	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	672	kʰ	∅	∅	∅	a	n	d	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	673	kʰ	∅	∅	∅	a	n	tʰ	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	674	kʰ	∅	∅	∅	a	n	d	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1
2	0.3333	5	0.8333	1680	668	a	kʰ	∅	∅	n	d	i	A	K	∅	∅	N	T	I	7	1	∅	∅	4	1	7	669	a	kʰ	∅	∅	n	d	a	A	K	∅	∅	N	T	A	7	1	∅	∅	4	1	7																							670	a	kʰ	∅	∅	n	t	i	A	K	∅	∅	N	T	I	7	1	∅	∅	4	1	7	671	a	kʰ	∅	∅	n	d	a	A	K	∅	∅	N	T	A	7	1	∅	∅	4	1	7	672	a	kʰ	∅	∅	n	d	a	A	K	∅	∅	N	T	A	7	1	∅	∅	4	1	7	673	a	kʰ	∅	∅	n	tʰ	u	A	K	∅	∅	N	T	Y	7	1	∅	∅	4	1	7	674	a	kʰ	∅	∅	n	d	a	A	K	∅	∅	N	T	A	7	1	∅	∅	4	1	7
3	0.5000	4	0.6667	1680	668	n	a	kʰ	∅	d	i	-	N	A	K	∅	T	I	_	4	7	1	∅	1	7	0	669	n	a	kʰ	∅	d	a	-	N	A	K	∅	T	A	_	4	7	1	∅	1	7	0																							670	n	a	kʰ	∅	t	i	-	N	A	K	∅	T	I	_	4	7	1	∅	1	7	0	671	n	a	kʰ	∅	d	a	-	N	A	K	∅	T	A	_	4	7	1	∅	1	7	0	672	n	a	kʰ	∅	d	a	-	N	A	K	∅	T	A	_	4	7	1	∅	1	7	0	673	n	a	kʰ	∅	tʰ	u	r	N	A	K	∅	T	Y	R	4	7	1	∅	1	7	5	674	n	a	kʰ	∅	d	a	-	N	A	K	∅	T	A	_	4	7	1	∅	1	7	0
4	0.6667	3	0.5000	1680	668	d	n	a	kʰ	i	-	∅	T	N	A	K	I	_	∅	1	4	7	1	7	0	∅	669	d	n	a	kʰ	a	-	∅	T	N	A	K	A	_	∅	1	4	7	1	7	0	∅																							670	t	n	a	kʰ	i	-	∅	T	N	A	K	I	_	∅	1	4	7	1	7	0	∅	671	d	n	a	kʰ	a	-	∅	T	N	A	K	A	_	∅	1	4	7	1	7	0	∅	672	d	n	a	kʰ	a	-	∅	T	N	A	K	A	_	∅	1	4	7	1	7	0	∅	673	tʰ	n	a	kʰ	u	r	∅	T	N	A	K	Y	R	∅	1	4	7	1	7	5	∅	674	d	n	a	kʰ	a	-	∅	T	N	A	K	A	_	∅	1	4	7	1	7	0	∅
5	0.8333	2	0.3333	1680	668	i	d	n	a	-	∅	∅	I	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅	669	a	d	n	a	-	∅	∅	A	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅																							670	i	t	n	a	-	∅	∅	I	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅	671	a	d	n	a	-	∅	∅	A	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅	672	a	d	n	a	-	∅	∅	A	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅	673	u	tʰ	n	a	r	∅	∅	Y	T	N	A	R	∅	∅	7	1	4	7	5	∅	∅	674	a	d	n	a	-	∅	∅	A	T	N	A	_	∅	∅	7	1	4	7	0	∅	∅
6	1.0000	1	0.1667	1680	668	-	i	d	n	∅	∅	∅	_	I	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅	669	-	a	d	n	∅	∅	∅	_	A	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅																							670	-	i	t	n	∅	∅	∅	_	I	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅	671	-	a	d	n	∅	∅	∅	_	A	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅	672	-	a	d	n	∅	∅	∅	_	A	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅	673	r	u	tʰ	n	∅	∅	∅	R	Y	T	N	∅	∅	∅	5	7	1	4	∅	∅	∅	674	-	a	d	n	∅	∅	∅	_	A	T	N	∅	∅	∅	0	7	1	4	∅	∅	∅
1	0.3333	3	1.0000	1689	675	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅	676	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅	677	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅	678	ŋ	∅	∅	∅	u	i	∅	N	∅	∅	∅	Y	I	∅	4	∅	∅	∅	7	7	∅	679	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅	680	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅	681	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅	682	ŋ	∅	∅	∅	o	i	∅	N	∅	∅	∅	U	I	∅	4	∅	∅	∅	7	7	∅
2	0.6667	2	0.6667	1689	675	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	676	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	677	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	678	u	ŋ	∅	∅	i	∅	∅	Y	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	679	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	680	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	681	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅	682	o	ŋ	∅	∅	i	∅	∅	U	N	∅	∅	I	∅	∅	7	4	∅	∅	7	∅	∅
3	1.0000	1	0.3333	1689	675	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	676	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	677	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	678	i	u	ŋ	∅	∅	∅	∅	I	Y	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	679	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	680	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	681	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅	682	i	o	ŋ	∅	∅	∅	∅	I	U	N	∅	∅	∅	∅	7	7	4	∅	∅	∅	∅
1	0.3333	3	1.0000	1698	683	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅	684	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅	685	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅	686	kʰ	∅	∅	∅	u	m	∅	K	∅	∅	∅	Y	M	∅	1	∅	∅	∅	7	4	∅	687	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅	688	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅	689	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅	690	kʰ	∅	∅	∅	u	ŋ	∅	K	∅	∅	∅	Y	N	∅	1	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	1698	683	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	684	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	685	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	686	u	kʰ	∅	∅	m	∅	∅	Y	K	∅	∅	M	∅	∅	7	1	∅	∅	4	∅	∅	687	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	688	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	689	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	690	u	kʰ	∅	∅	ŋ	∅	∅	Y	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅
